stateStr,POP,tUNDER5,tUNDER18,tOVER65,pFEM,pWHITE,pBLK,pAIAN,pASIAN,pNHPI,p2RACE,pHISPLAT,pWHITEnHL,tVET,pFOREIGN,tHOUSE,tOWNHOUSE,mOWN,mOWNCOSTwM,mOWNCOSTwNM,mRENT,tBUILD,tHHOLD,tPERSpHOUSE,pSAMEHOUSE,pNENG,pEDUHS,pEDUBATCH,pDISABIL,pUNINS,pEMP,pEMPFEM,tSALEFOOD,tSALEHCARE,tSALEMANU,tSALEMERCH,tSALERETAIL,pcSALERETAIL,mTRAVEL,mHOUSEINC,pcINCOME,pPOVERTY,tWORKPLACE,tEMPLOY,tPAYROLL,tNONEMPPLACE,tFIRMS,tFIRMSMALE,tFIRMSFEM,tFIRMSMINOR,tFIRMSNONMINOR,tFIRMSVET,tFIRMSNONVET,POPDENS,tLAND
Alabama,4779736,6.4,23.7,13.8,51.5,68.5,26.2,0.6,1.1,0.1,1.5,3.9,67,363170,3.5,2171853,68.7,125500,1139,345,717,14054,1848325,2.55,85.3,5.2,84.3,23.5,11.8,11.9,58,53,7576462,26039632,124809759,57746565,58564965,12145,24.4,43623,24091,18.5,97714,1604016,64291502,318136,374153,203604,137630,92219,272651,41943,316984,94.4,50645.33
Arizona,6392017,7.1,25.5,13.8,50.3,73,4.1,4.6,2.8,0.2,3.4,29.6,57.8,505794,13.5,2844526,62.8,167500,1343,380,913,28910,2412212,2.69,81.3,26.9,86,27.5,8.2,12.8,59.3,54.5,13996635,37055881,51243473,69437272,84716542,12927,24.8,50255,25848,17.4,134434,2241077,96796238,438353,499926,245243,182425,135313,344981,46780,427582,56.3,113594.08
Arkansas,2915918,6.8,24.4,14.4,50.9,77,15.4,0.8,1.2,0.2,2,6.4,74.5,220953,4.7,1316299,66.1,111400,1019,327,677,8500,1138025,2.53,83.9,7.2,84.8,21.1,12.3,11.1,58.5,53.3,4307264,15792628,62712925,31256110,36815256,12483,21.6,41371,22798,19.1,64670,992201,38335116,196593,231959,123158,75962,35982,189029,25915,192988,56,52035.48
California,37253956,6.8,25,11.4,50.3,57.6,6.2,1,13,0.4,4.9,37.6,40.1,1777410,27,13680081,54.3,385500,2155,500,1255,98188,12717801,2.96,85.2,43.9,81.8,31.4,6.8,9.7,63.1,57.2,90830372,248953592,512303164,666652186,481800461,12665,28,61818,30318,15.3,889646,13838702,797045734,3117591,3548449,1852580,1320085,1619857,1819107,252377,3176341,239.1,155779.22
Colorado,5029196,6.8,24.4,10.9,49.9,81.3,4,1.1,2.8,0.1,3.4,20.7,70,391725,9.8,2212898,64.3,247800,1577,419,1002,31871,2024468,2.55,80.8,16.9,90.7,38.1,7.2,9.2,67.6,62.6,13617654,29488161,50447098,77034971,67815200,13073,24.8,60629,32217,11.5,158064,2181455,112194052,468729,547352,284554,194508,85849,442365,51722,469524,48.5,103641.89
District of Columbia,601723,5.4,16.8,11.4,52.8,38.5,50.7,0.3,3.5,0.1,2.9,9.1,34.8,28632,14.1,296719,41.2,475800,2294,610,1327,4956,273390,2.22,79.9,17,89.3,54.6,8.3,4.2,68.3,66.2,5101602,8963981,309832,2591868,4439933,7022,29.7,70848,47675,17.3,22210,495453,36953396,55013,63408,30237,27064,29983,29521,5070,54217,9856.5,61.05
Florida,18801310,5.7,21.3,17.3,51.1,75,16,0.4,2.4,0.1,2.5,22.5,57.9,1507738,19.7,8989580,65.3,159000,1435,463,1002,109924,7300494,2.63,83.8,28.1,86.9,27.3,8.5,16.2,58.8,54.7,49817925,124061425,96924106,252626608,273867145,14177,26.4,47507,26829,15.7,519875,7441584,312959623,1948357,2100187,1084885,807817,926112,1121749,185756,1846686,350.6,53624.76
Georgia,9687653,7.1,25.7,10.7,51.2,59.7,30.5,0.3,3.2,0.1,2.1,8.8,55.9,670617,9.8,4088801,63.3,148100,1346,392,879,45549,3574362,2.73,84,13.6,85.4,28.8,8.8,15.7,62.3,57.9,18976611,51800643,155836792,143645290,119801495,12077,27.4,49620,25737,17,220605,3551163,163852238,848952,929864,480578,376506,371588,538893,96787,800585,168.4,57513.49
Illinois,12830632,6.5,24.4,12.5,51,71.5,14.5,0.3,4.6,NA,2.3,15.8,63.7,668933,14,5296715,66.4,173800,1636,574,907,19571,4786388,2.63,86.8,22.7,87.9,32.3,7.1,8.1,65.6,60.7,27937381,83431778,281037755,295456992,166634514,12942,28.4,57574,30494,13.6,316120,5312290,273437956,955153,1135017,609648,417500,311684,795129,89110,1006885,231.1,55518.93
Louisiana,4533372,6.9,24.7,12.3,51,62.6,32,0.7,1.5,NA,1.6,4.2,60.3,281989,4,1964981,65.8,144100,1200,317,788,13830,1727919,2.6,86.3,8.5,83.4,22.5,11,13.8,60.4,56,11697949,27951792,271191050,68012838,61396364,13342,25.1,45047,24981,19.6,104976,1717797,76730689,357815,414291,215111,151114,126100,277676,42211,354460,104.9,43203.9
